"wavelength","Coeffs_LMA_Rosa_rugosa_PLSR_Ncomp_6","Coeffs_LMA_Rubus_caesius_PLSR_Ncomp_8","Coeffs_LMA_Jacobea_vulgaris_PLSR_Ncomp_13","Coeffs_LMA_Hieracium_umbellatum_PLSR_Ncomp_13","Coeffs_LDMC_Rosa_rugosa_PLSR_Ncomp_8","Coeffs_LDMC_Rubus_caesius_PLSR_Ncomp_11","Coeffs_LDMC_Jacobea_vulgaris_PLSR_Ncomp_15","Coeffs_LDMC_Hieracium_umbellatum_PLSR_Ncomp_19","Coeffs_EWT_Rosa_rugosa_PLSR_Ncomp_5","Coeffs_EWT_Rubus_caesius_PLSR_Ncomp_15","Coeffs_EWT_Jacobea_vulgaris_PLSR_Ncomp_5","Coeffs_EWT_Hieracium_umbellatum_PLSR_Ncomp_4"
"(Intercept)",10.2267233888562,5.18615801318113,2.96965200895307,5.66670330830655,0.352618046089889,0.339613972088735,0.13596928401466,0.163988379887776,20.9579756847788,11.6829725635048,23.5768260714592,31.8029799450987
"400",0.25655875870274,0.542336724143079,-0.865924081229425,0.0776163591626899,0.0203816391513873,0.10225074843891,-0.019074875545062,0.104806604398915,-0.0977925907599319,-12.4468373660181,-0.319309335091665,-0.210549341448659
"401",0.23566391217337,0.499851220669264,-0.824496810790504,-0.383266851119653,0.0190395176022511,0.0913062521580438,-0.0131071200061419,0.082873339645282,-0.0728685472560834,-11.2821904608481,-0.29716171898024,-0.194187841717934
"402",0.217195408366543,0.460563249587532,-0.79196284696243,-0.7692067784683,0.0178615101565041,0.0813140223289751,-0.00781922989510596,0.0618396394661853,-0.0507246159151993,-10.1126897592633,-0.276857593946975,-0.17912744686192
"403",0.200979599022256,0.424312093430887,-0.767927284800711,-1.08522925276038,0.016836390445138,0.0722211550020578,-0.0031765527001946,0.0418204605833434,-0.0311944494319402,-8.9449831037766,-0.258239786548856,-0.165285967935638
"404",0.186842835880591,0.390937034732535,-0.751995219361608,-1.33636010387096,0.0159529320991515,0.0639747462277103,0.000855564090304683,0.0229307597186462,-0.0141117005010802,-7.78571833690792,-0.241151123342974,-0.152581215994185
"405",0.174611470681628,0.360277356025626,-0.743771745700722,-1.52762516167581,0.01519990874954,0.0565218920563192,0.00431177298810321,0.00528549359387582,0.000689978182678214,-6.64154330117471,-0.225434430886373,-0.140931002092626
"406",0.164111855165409,0.33217233984331,-0.742861958874647,-1.66405025605081,0.0145660940273001,0.0498096885382817,0.00722672650494343,-0.0110003810691,0.0133769339245929,-5.51910583909544,-0.21093253573612,-0.130253137286042
"407",0.155170341071979,0.306461268718643,-0.748870953938802,-1.75066121687246,0.0140402615634258,0.0437852317239738,0.00963507715255014,-0.0258119075485666,0.0241155140300005,-4.4250537931842,-0.197488264449236,-0.120465432629469
"408",0.147613280141405,0.282983425184781,-0.761403825949587,-1.79248387401602,0.0136111849889136,0.038395617663793,0.0115714774426356,-0.0390341291226802,0.0330720658041501,-3.36603500596059,-0.184944443582777,-0.111485699177985
"409",0.141267024113732,0.261578091774901,-0.780065669962512,-1.79454405735807,0.0132676379347595,0.0335879424081346,0.0130705798869375,-0.0505520890695465,0.0404129365523166,-2.34869731994109,-0.173143899693805,-0.103231747986672
"410",0.135957924729029,0.242084551022072,-0.804461581033871,-1.76186759677378,0.0129983940319587,0.0293093020073812,0.0141670369971761,-0.0602508306674414,0.0463044735798126,-1.37968857764321,-0.161929459339354,-0.0956213901105802
"411",0.131512333727344,0.224342085459455,-0.834196654219721,-1.69948032213963,0.0127922269115071,0.0255067925119273,0.0148955012850767,-0.068015397194521,0.0509130241919064,-0.465656621584215,-0.151143949076473,-0.0885724366047809
"412",0.127756602848729,0.20818997762018,-0.868875984575692,-1.61240806333168,0.0126379102044005,0.0221275099721606,0.0152906252623737,-0.0737308319289804,0.054404935693888,0.386750705719068,-0.140630195462224,-0.0820026985243398
"413",0.125498560553198,0.190256607096688,-0.907444836678603,-1.52909276635488,0.0125654245085047,0.0184935355867906,0.0186476311887587,-0.0794055810074839,0.0572329961548922,1.11108571150378,-0.131629213651643,-0.0743004106147718
"414",0.121543984552055,0.174369435281418,-0.929634189396041,-1.35035420610532,0.012539023636649,0.015465172654643,0.0170038802759144,-0.0692508647972886,0.0567574344852742,1.66883713065417,-0.119631632135457,-0.0681611729714091
"415",0.117862395166027,0.163662601413524,-1.02284393418223,-1.18090150744718,0.0124486940051282,0.0130225201879827,0.0148754145741959,-0.0531699850108805,0.0576595458586829,2.26166801548428,-0.108779802122418,-0.0630660659015674
"416",0.114786238332295,0.155294719847255,-1.14892043003893,-1.07204111682946,0.0122854320145075,0.0109933284508199,0.0148090814055736,-0.0410276144347673,0.0612116758088867,2.82720078618684,-0.0989416599489251,-0.0581492834641947
"417",0.110762179973949,0.143838753557749,-1.15351024047002,-1.02868634385043,0.0120934345705665,0.00933046454445789,0.0158169679835856,-0.0461937339431895,0.0649532199991799,3.10879636737046,-0.0855546123113545,-0.0524207252454936
"418",0.105268889907109,0.13333607170553,-1.15726554675015,-0.98709913074985,0.0118856246939069,0.00757220900355899,0.0161120424248658,-0.0500415595225829,0.0663379423640355,3.39622039473783,-0.0713220554166558,-0.0468990756840046
"419",0.0983262629152383,0.125949861481384,-1.21696269939354,-0.918832300844275,0.0116522181491172,0.00568601502204625,0.0142377470989455,-0.0423035149324768,0.0649421657136907,3.81352321934337,-0.0571824353859642,-0.0418645150907364
